timestamp,executed,status,duration,mem_mean,mem_median,mem_peak,return_code,output,tool,benchmark,dataset,model,phase
1712864050,True,success,3.02,506950997.3333333,592248832.0,738488320,0,/experiments/comparison/prophecy/1/GC9/predictions/results_clf.csv,prophecy,trustbench,GC,GC9,infer
1712864053,True,success,3.02,506427528.53333336,590807040.0,738009088,0,/experiments/comparison/prophecy/1/GC1/predictions/results_clf.csv,prophecy,trustbench,GC,GC1,infer
1712864056,True,success,3.02,469469866.6666667,550875136.0,696844288,0,/experiments/comparison/prophecy/1/GC7/predictions/results_clf.csv,prophecy,trustbench,GC,GC7,infer
1712864059,True,success,3.02,502354739.2,586018816.0,732524544,0,/experiments/comparison/prophecy/1/GC2/predictions/results_clf.csv,prophecy,trustbench,GC,GC2,infer
1712864062,True,success,3.02,502640640.0,585920512.0,731791360,0,/experiments/comparison/prophecy/1/GC8/predictions/results_clf.csv,prophecy,trustbench,GC,GC8,infer
1712864065,True,success,3.02,499926903.4666666,584581120.0,730771456,0,/experiments/comparison/prophecy/1/HP4/predictions/results_clf.csv,prophecy,trustbench,HP,HP4,infer
1712864069,True,success,3.02,501968896.0,586047488.0,733487104,0,/experiments/comparison/prophecy/1/HP3/predictions/results_clf.csv,prophecy,trustbench,HP,HP3,infer
1712864072,True,success,3.22,473733376.0,580552704.0,738045952,0,/experiments/comparison/prophecy/1/HP2/predictions/results_clf.csv,prophecy,trustbench,HP,HP2,infer
1712864075,True,success,3.02,500642884.26666665,584310784.0,730914816,0,/experiments/comparison/prophecy/1/HP1/predictions/results_clf.csv,prophecy,trustbench,HP,HP1,infer
1712864078,True,success,3.02,506387387.73333335,590979072.0,737148928,0,/experiments/comparison/prophecy/1/PD2/predictions/results_clf.csv,prophecy,trustbench,PD,PD2,infer
1712864081,True,success,3.02,500060979.2,583880704.0,728625152,0,/experiments/comparison/prophecy/1/PD1/predictions/results_clf.csv,prophecy,trustbench,PD,PD1,infer
1712864084,True,success,3.02,502852266.6666667,587624448.0,733904896,0,/experiments/comparison/prophecy/1/PD4/predictions/results_clf.csv,prophecy,trustbench,PD,PD4,infer
1712864087,True,success,3.02,504343210.6666667,589344768.0,734216192,0,/experiments/comparison/prophecy/1/PD3/predictions/results_clf.csv,prophecy,trustbench,PD,PD3,infer
1712864090,True,success,25.97,1621869337.7984495,1686380544.0,2110423040,0,/experiments/comparison/prophecy/1/CIFAR10/predictions/results_clf.csv,prophecy,trustbench,CIFAR10,CIFAR10,infer
1712864118,True,success,3.22,364651520.0,422000640.0,786235392,0,/experiments/comparison/deepinfer/1/BM7/analysis.json,deepinfer,trustbench,BM,BM7,analyze
1712864121,True,success,3.62,355561244.4444444,405291008.0,692654080,0,/experiments/comparison/deepinfer/1/BM2/analysis.json,deepinfer,trustbench,BM,BM2,analyze
1712864125,True,success,3.02,420203997.8666667,466915328.0,666812416,0,/experiments/comparison/deepinfer/1/BM11/analysis.json,deepinfer,trustbench,BM,BM11,analyze
1712864128,True,success,3.62,364546503.1111111,433002496.0,782999552,0,/experiments/comparison/deepinfer/1/BM3/analysis.json,deepinfer,trustbench,BM,BM3,analyze
1712864131,True,success,3.02,416941397.3333333,445419520.0,677552128,0,/experiments/comparison/deepinfer/1/BM5/analysis.json,deepinfer,trustbench,BM,BM5,analyze
1712864134,True,success,3.22,450131968.0,476823552.0,690704384,0,/experiments/comparison/deepinfer/1/BM12/analysis.json,deepinfer,trustbench,BM,BM12,analyze
1712864137,True,success,3.42,400735292.2352941,444416000.0,792870912,0,/experiments/comparison/deepinfer/1/BM8/analysis.json,deepinfer,trustbench,BM,BM8,analyze
1712864141,True,success,2.82,421302857.14285713,451614720.0,745189376,0,/experiments/comparison/deepinfer/1/BM9/analysis.json,deepinfer,trustbench,BM,BM9,analyze
1712864144,True,success,3.82,488343013.0526316,606826496.0,694136832,0,/experiments/comparison/deepinfer/1/BM4/analysis.json,deepinfer,trustbench,BM,BM4,analyze
